name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
request_122	100	0	100	0	-1	0	190	-1	190	4	-1	4	19	-1	19	10	-1	10	10	-1	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_121	100	0	100	0	-1	0	550	-1	550	71	-1	71	160	-1	160	540	-1	540	550	-1	550	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_50	100	3	97	310	2140	310	3040	2480	3040	2325	2260	2327	312	156	315	2720	2480	2720	3010	2480	3010	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_53	100	7	93	580	600	580	3020	2820	3020	2465	2297	2478	540	741	518	2960	2820	2960	3000	2820	3000	t < 800 ms	1	1	800 ms < t < 1200 ms	0	0	t > 1200 ms	6	6	failed	93	93	0	0	0
request_54	100	4	96	490	2070	490	3030	2800	3030	2534	2533	2534	549	279	557	2960	2800	2960	2980	2800	2980	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	4	failed	96	96	0	0	0
request_51	100	3	97	1440	1510	1440	2720	1990	2720	2084	1690	2096	344	214	342	2630	1990	2630	2700	1990	2700	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_52	100	5	95	1430	1900	1430	3030	2850	3030	2348	2352	2347	414	359	421	2820	2850	2820	3000	2850	3000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	5	5	failed	95	95	0	0	0
request_58	100	5	95	150	1640	150	4230	4050	4230	3017	2852	3025	709	803	705	4180	4050	4180	4230	4050	4230	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	5	5	failed	95	95	0	0	0
request_57	100	0	100	1190	-1	1190	3390	-1	3390	2663	-1	2663	312	-1	312	3000	-1	3000	3160	-1	3160	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_56	100	5	95	1470	1710	1470	2960	2850	2960	2584	2570	2585	382	432	377	2930	2850	2930	2960	2850	2960	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	5	5	failed	95	95	0	0	0
request_55	100	3	97	1460	2160	1460	3080	2810	3080	2582	2380	2588	391	304	393	2960	2810	2960	2990	2810	2990	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_59	100	3	97	1510	1670	1510	4250	2670	4250	2930	2010	2958	755	467	746	4190	2670	4190	4230	2670	4230	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	97	97	0	0	0
request_137	100	0	100	0	-1	0	340	-1	340	33	-1	33	90	-1	90	290	-1	290	290	-1	290	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_136	100	0	100	0	-1	0	600	-1	600	19	-1	19	101	-1	101	10	-1	10	590	-1	590	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_139	100	0	100	0	-1	0	10	-1	10	0	-1	0	1	-1	1	0	-1	0	10	-1	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_138	100	0	100	0	-1	0	480	-1	480	67	-1	67	151	-1	151	430	-1	430	450	-1	450	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_133	100	0	100	0	-1	0	460	-1	460	25	-1	25	98	-1	98	20	-1	20	450	-1	450	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_132	100	0	100	0	-1	0	550	-1	550	37	-1	37	126	-1	126	480	-1	480	490	-1	490	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_135	100	0	100	0	-1	0	590	-1	590	11	-1	11	64	-1	64	10	-1	10	190	-1	190	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_134	100	0	100	0	-1	0	600	-1	600	80	-1	80	174	-1	174	600	-1	600	600	-1	600	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_2	100	100	0	20610	20610	-1	25120	25120	-1	24914	24914	-1	515	515	-1	25090	25090	-1	25120	25120	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	100	100	failed	0	0	0	0	-1
request_3	100	100	0	580	580	-1	3960	3960	-1	1645	1645	-1	489	489	-1	2160	2160	-1	2200	2200	-1	t < 800 ms	8	8	800 ms < t < 1200 ms	9	9	t > 1200 ms	83	83	failed	0	0	0	0	-1
request_1	100	100	0	360	360	-1	710	710	-1	570	570	-1	80	80	-1	690	690	-1	710	710	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_6	100	100	0	20	20	-1	2020	2020	-1	1724	1724	-1	439	439	-1	2000	2000	-1	2020	2020	-1	t < 800 ms	7	7	800 ms < t < 1200 ms	0	0	t > 1200 ms	93	93	failed	0	0	0	0	-1
request_7	100	100	0	10	10	-1	2460	2460	-1	1319	1319	-1	566	566	-1	2210	2210	-1	2430	2430	-1	t < 800 ms	17	17	800 ms < t < 1200 ms	26	26	t > 1200 ms	57	57	failed	0	0	0	0	-1
request_4	100	100	0	580	580	-1	2460	2460	-1	1394	1394	-1	532	532	-1	2420	2420	-1	2450	2450	-1	t < 800 ms	11	11	800 ms < t < 1200 ms	37	37	t > 1200 ms	52	52	failed	0	0	0	0	-1
request_5	100	0	100	20	-1	20	2010	-1	2010	1214	-1	1214	553	-1	553	1970	-1	1970	2010	-1	2010	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
